name,slug
Ariyalur,ariyalur
Chengalpattu,chengalpattu
Chennai,chennai
Coimbatore,coimbatore
Cuddalore,cuddalore
Dharmapuri,dharmapuri
Dindigul,dindigul
Erode,erode
Kallakurichi,kallakurichi
Kancheepuram,kancheepuram
Kanniyakumari,kanniyakumari
Karur,karur
Krishnagiri,krishnagiri
Madurai,madurai
Mayiladuthurai,mayiladuthurai
Nagapattinam,nagapattinam
Namakkal,namakkal
Nilgiris,nilgiris
Perambalur,perambalur
Pudukkottai,pudukkottai
Ramanathapuram,ramanathapuram
Ranipet,ranipet
Salem,salem
Sivaganga,sivaganga
Tenkasi,tenkasi
Thanjavur,thanjavur
Theni,theni
Thiruvallur,thiruvallur
Thiruvarur,thiruvarur
Thoothukudi,thoothukudi
Tiruchirappalli,tiruchirappalli
Tirunelveli,tirunelveli
Tirupathur,tirupathur
Tiruppur,tiruppur
Tiruvannamalai,tiruvannamalai
Vellore,vellore
Villupuram,villupuram
Virudhunagar,virudhunagar
